CustomerID,Recency,Frequency,Monetary,rfm_features,rfm_standardized,prediction,RFM_Score,RFM_ScoreGroup,Loyalty
15100,334,3,875.0,"[334.0,3.0,875.0]","[3.35582162023588,0.41633418003854206,0.11689723154457245]",0,8,332,Silver
14075,5,3,944.0,"[5.0,3.0,944.0]","[0.05023685060233354,0.41633418003854206,0.1261154132320873]",1,5,122,Platinum
14514,62,3,1061.0,"[62.0,3.0,1061.0]","[0.6229369474689359,0.41633418003854206,0.1417462430500473]",1,5,212,Platinum
16916,24,2,583.0,"[24.0,2.0,583.0]","[0.241136882891201,0.2775561200256947,0.07788695541769798]",1,4,112,Platinum
15004,148,1,1265.0,"[148.0,1.0,1265.0]","[1.4870107778290726,0.13877806001284734,0.16899999760443904]",0,5,311,Platinum
17172,79,1,317.0,"[79.0,1.0,317.0]","[0.79374223951687,0.13877806001284734,0.04235019702814796]",1,8,233,Silver
15254,128,1,302.0,"[128.0,1.0,302.0]","[1.2860633754197386,0.13877806001284734,0.040346244487383866]",1,9,333,Silver
15738,19,16,4819.0,"[19.0,16.0,4819.0]","[0.19090003228886746,2.2204489602055575,0.6438031529294795]",3,3,111,Platinum
14377,192,2,617.0,"[192.0,2.0,617.0]","[1.929095063129608,0.2775561200256947,0.08242924784342995]",0,8,332,Silver
17837,43,8,1606.0,"[43.0,8.0,1606.0]","[0.4320369151800684,1.1102244801027787,0.21455651869780956]",1,4,211,Platinum
17809,17,12,5416.0,"[17.0,12.0,5416.0]","[0.17080529204793404,1.6653367201541682,0.7235604640518908]",3,4,121,Platinum
13601,46,2,703.0,"[46.0,2.0,703.0]","[0.46217902554146856,0.2775561200256947,0.09391857574381078]",1,5,212,Platinum
14289,9,6,919.0,"[9.0,6.0,919.0]","[0.09042633108420037,0.8326683600770841,0.1227754923308138]",1,5,122,Platinum
16791,30,7,1754.0,"[30.0,7.0,1754.0]","[0.3014211036140012,0.9714464200899314,0.23432885043334867]",1,4,211,Platinum
15655,244,1,562.0,"[244.0,1.0,562.0]","[2.4515583093938766,0.13877806001284734,0.07508142186062824]",0,7,322,Gold
15296,51,6,3694.0,"[51.0,6.0,3694.0]","[0.5124158761438021,0.8326683600770841,0.49350671237217214]",1,4,211,Platinum
17754,1,5,1787.0,"[1.0,5.0,1787.0]","[0.010047370120466708,0.6938903000642367,0.23873754602302968]",1,3,111,Platinum
18221,23,5,1045.0,"[23.0,5.0,1045.0]","[0.23108951277073428,0.6938903000642367,0.13960869367323225]",1,5,122,Platinum
13875,54,5,1805.0,"[54.0,5.0,1805.0]","[0.5425579865052023,0.6938903000642367,0.2411422890719466]",1,4,211,Platinum
16924,22,3,857.0,"[22.0,3.0,857.0]","[0.22104214265026756,0.41633418003854206,0.11449248849565553]",1,4,112,Platinum
14420,100,1,387.0,"[100.0,1.0,387.0]","[1.0047370120466708,0.13877806001284734,0.051701975551713755]",1,7,322,Gold
14997,47,3,548.0,"[47.0,3.0,548.0]","[0.47222639566193525,0.41633418003854206,0.07321106615591509]",1,6,222,Gold
14837,90,4,1654.0,"[90.0,4.0,1654.0]","[0.9042633108420037,0.5551122400513894,0.22096916682825468]",1,5,311,Platinum
13060,254,1,307.0,"[254.0,1.0,307.0]","[2.552032010598544,0.13877806001284734,0.04101422866763856]",0,9,333,Silver
14714,25,1,162.0,"[25.0,1.0,162.0]","[0.2511842530116677,0.13877806001284734,0.02164268744025227]",1,8,233,Silver
17775,255,1,56.0,"[255.0,1.0,56.0]","[2.5620793807190103,0.13877806001284734,0.0074814228188526365]",0,9,333,Silver
17708,188,2,269.0,"[188.0,2.0,269.0]","[1.888905582647741,0.2775561200256947,0.03593754889770284]",0,8,323,Silver
16283,6,5,1587.0,"[6.0,5.0,1587.0]","[0.06028422072280025,0.6938903000642367,0.21201817881284168]",1,3,111,Platinum
17783,73,2,290.0,"[73.0,2.0,290.0]","[0.7334580187940697,0.2775561200256947,0.038743082454772586]",1,7,223,Gold
13483,66,1,140.0,"[66.0,1.0,140.0]","[0.6631264279508027,0.13877806001284734,0.018703557047131593]",1,8,233,Silver
13207,16,2,249.0,"[16.0,2.0,249.0]","[0.16075792192746732,0.2775561200256947,0.03326561217668405]",1,7,133,Gold
17044,26,1,949.0,"[26.0,1.0,949.0]","[0.2612316231321344,0.13877806001284734,0.126783397412342]",1,7,232,Gold
16680,44,1,184.0,"[44.0,1.0,184.0]","[0.4420842853005351,0.13877806001284734,0.02458181783337295]",1,8,233,Silver
16224,58,4,1298.0,"[58.0,4.0,1298.0]","[0.582747466987069,0.5551122400513894,0.17340869319412006]",1,4,211,Platinum
17223,311,2,432.0,"[311.0,2.0,432.0]","[3.124732107465146,0.2775561200256947,0.05771383317400606]",0,7,322,Gold
15382,15,6,5982.0,"[15.0,6.0,5982.0]","[0.1507105518070006,0.8326683600770841,0.7991762732567228]",1,3,111,Platinum
13898,326,1,157.0,"[326.0,1.0,157.0]","[3.2754426592721466,0.13877806001284734,0.020974703259997573]",0,9,333,Silver
17193,36,7,1701.0,"[36.0,7.0,1701.0]","[0.36170532433680147,0.9714464200899314,0.22724821812264884]",1,5,221,Platinum
15604,53,1,218.0,"[53.0,1.0,218.0]","[0.5325106163847355,0.13877806001284734,0.02912411025910491]",1,8,233,Silver
14315,45,6,2501.0,"[45.0,6.0,2501.0]","[0.45213165542100187,0.8326683600770841,0.3341256869634008]",1,4,211,Platinum
16828,94,2,129.0,"[94.0,2.0,129.0]","[0.9444527913238705,0.2775561200256947,0.017233991850571253]",1,9,333,Silver
13188,12,1,115.0,"[12.0,1.0,115.0]","[0.1205684414456005,0.13877806001284734,0.015363636145858093]",1,7,133,Gold
14958,148,3,504.0,"[148.0,3.0,504.0]","[1.4870107778290726,0.41633418003854206,0.06733280536967373]",0,7,322,Gold
18043,25,3,565.0,"[25.0,3.0,565.0]","[0.2511842530116677,0.41633418003854206,0.07548221236878107]",1,5,212,Platinum
17712,45,1,524.0,"[45.0,1.0,524.0]","[0.45213165542100187,0.13877806001284734,0.07000474209069253]",1,6,222,Gold
13508,244,1,111.0,"[244.0,1.0,111.0]","[2.4515583093938766,0.13877806001284734,0.014829248801654335]",0,9,333,Silver
14944,30,12,5896.0,"[30.0,12.0,5896.0]","[0.3014211036140012,1.6653367201541682,0.7876869453563419]",3,4,211,Platinum
14713,10,11,2690.0,"[10.0,11.0,2690.0]","[0.10047370120466707,1.5265586601413208,0.3593754889770284]",3,3,111,Platinum
15292,202,1,186.0,"[202.0,1.0,186.0]","[2.029568764334275,0.13877806001284734,0.02484901150547483]",0,8,323,Silver
13225,4,7,6466.0,"[4.0,7.0,6466.0]","[0.04018948048186683,0.9714464200899314,0.8638371419053776]",1,4,121,Platinum
17190,59,2,444.0,"[59.0,2.0,444.0]","[0.5927948371075358,0.2775561200256947,0.05931699520661734]",1,7,232,Gold
14779,281,3,390.0,"[281.0,3.0,390.0]","[2.823311003851145,0.41633418003854206,0.05210276605986658]",0,7,322,Gold
16999,24,2,486.0,"[24.0,2.0,486.0]","[0.241136882891201,0.2775561200256947,0.06492806232075682]",1,5,122,Platinum
17950,73,3,487.0,"[73.0,3.0,487.0]","[0.7334580187940697,0.41633418003854206,0.06506165915680776]",1,5,212,Platinum
16117,190,1,235.0,"[190.0,1.0,235.0]","[1.9090003228886745,0.13877806001284734,0.03139525647197089]",0,8,323,Silver
16706,38,3,534.0,"[38.0,3.0,534.0]","[0.3818000645777349,0.41633418003854206,0.07134071045120192]",1,5,212,Platinum
15740,50,1,155.0,"[50.0,1.0,155.0]","[0.5023685060233354,0.13877806001284734,0.020707509587895693]",1,8,233,Silver
16232,44,4,994.0,"[44.0,4.0,994.0]","[0.4420842853005351,0.5551122400513894,0.1327952550346343]",1,6,222,Gold
15429,27,2,405.0,"[27.0,2.0,405.0]","[0.27127899325260113,0.2775561200256947,0.054106718600630675]",1,5,212,Platinum
16565,365,1,174.0,"[365.0,1.0,174.0]","[3.6672900939703483,0.13877806001284734,0.02324584947286355]",0,9,333,Silver
15535,174,4,540.0,"[174.0,4.0,540.0]","[1.7482424009612072,0.5551122400513894,0.07214229146750757]",0,6,312,Gold
13923,54,1,350.0,"[54.0,1.0,350.0]","[0.5425579865052023,0.13877806001284734,0.04675889261782898]",1,8,233,Silver
14770,233,2,881.0,"[233.0,2.0,881.0]","[2.341037238068743,0.2775561200256947,0.1176988125608781]",0,7,322,Gold
16094,12,4,1077.0,"[12.0,4.0,1077.0]","[0.1205684414456005,0.5551122400513894,0.14388379242686233]",1,5,122,Platinum
13504,65,1,300.0,"[65.0,1.0,300.0]","[0.653079057830336,0.13877806001284734,0.040079050815281986]",1,8,233,Silver
13329,32,2,787.0,"[32.0,2.0,787.0]","[0.32151584385493465,0.2775561200256947,0.10514070997208974]",1,7,232,Gold
14660,87,2,290.0,"[87.0,2.0,290.0]","[0.8741212004806036,0.2775561200256947,0.038743082454772586]",1,7,223,Gold
17836,48,1,109.0,"[48.0,1.0,109.0]","[0.482273765782402,0.13877806001284734,0.014562055129552455]",1,7,223,Gold
17154,76,1,331.0,"[76.0,1.0,331.0]","[0.7636001291554698,0.13877806001284734,0.04422055273286112]",1,7,223,Gold
13398,193,1,460.0,"[193.0,1.0,460.0]","[1.9391424332500746,0.13877806001284734,0.06145454458343237]",0,7,322,Gold
14752,44,1,390.0,"[44.0,1.0,390.0]","[0.4420842853005351,0.13877806001284734,0.05210276605986658]",1,7,232,Gold
15462,95,3,235.0,"[95.0,3.0,235.0]","[0.9545001614443372,0.41633418003854206,0.03139525647197089]",1,9,333,Silver
13468,2,37,5737.0,"[2.0,37.0,5737.0]","[0.020094740240933415,5.134788220475352,0.7664450484242424]",3,3,111,Platinum
16027,92,6,933.0,"[92.0,6.0,933.0]","[0.9243580510829371,0.8326683600770841,0.12464584803552697]",1,8,332,Silver
17346,4,15,2691.0,"[4.0,15.0,2691.0]","[0.04018948048186683,2.08167090019271,0.3595090858130794]",3,3,111,Platinum
16549,11,10,4200.0,"[11.0,10.0,4200.0]","[0.11052107132513378,1.3877806001284734,0.5611067114139477]",1,3,111,Platinum
15070,373,1,106.0,"[373.0,1.0,106.0]","[3.747669054934082,0.13877806001284734,0.014161264621399635]",0,9,333,Silver
15026,81,3,474.0,"[81.0,3.0,474.0]","[0.8138369797578033,0.41633418003854206,0.06332490028814554]",1,6,222,Gold
15146,165,2,1331.0,"[165.0,2.0,1331.0]","[1.6578160698770068,0.2775561200256947,0.17781738878380107]",0,5,311,Platinum
16295,10,4,1336.0,"[10.0,4.0,1336.0]","[0.10047370120466707,0.5551122400513894,0.17848537296405576]",1,3,111,Platinum
16985,18,10,5483.0,"[18.0,10.0,5483.0]","[0.18085266216840074,1.3877806001284734,0.7325114520673037]",3,3,111,Platinum
17438,254,1,389.0,"[254.0,1.0,389.0]","[2.552032010598544,0.13877806001284734,0.051969169223815635]",0,8,332,Silver
16526,172,1,293.0,"[172.0,1.0,293.0]","[1.7281476607202737,0.13877806001284734,0.0391438729629254]",0,9,333,Silver
16506,20,2,90.0,"[20.0,2.0,90.0]","[0.20094740240933415,0.2775561200256947,0.012023715244584595]",1,7,133,Gold
13500,24,3,1172.0,"[24.0,3.0,1172.0]","[0.241136882891201,0.41633418003854206,0.1565754918517016]",1,4,121,Platinum
15594,16,5,1783.0,"[16.0,5.0,1783.0]","[0.16075792192746732,0.6938903000642367,0.2382031586788259]",1,3,111,Platinum
14124,85,1,419.0,"[85.0,1.0,419.0]","[0.8540264602396701,0.13877806001284734,0.055977074305343835]",1,7,232,Gold
16119,9,2,423.0,"[9.0,2.0,423.0]","[0.09042633108420037,0.2775561200256947,0.056511461649547595]",1,6,132,Gold
16510,373,1,249.0,"[373.0,1.0,249.0]","[3.747669054934082,0.13877806001284734,0.03326561217668405]",0,9,333,Silver
15221,367,1,403.0,"[367.0,1.0,403.0]","[3.6873848342112816,0.13877806001284734,0.053839524928528795]",0,8,332,Silver
14054,66,1,95.0,"[66.0,1.0,95.0]","[0.6631264279508027,0.13877806001284734,0.012691699424839295]",1,8,233,Silver
14284,31,2,600.0,"[31.0,2.0,600.0]","[0.31146847373446795,0.2775561200256947,0.08015810163056397]",1,6,222,Gold
13313,23,5,1565.0,"[23.0,5.0,1565.0]","[0.23108951277073428,0.6938903000642367,0.20907904841972103]",1,3,111,Platinum
16255,17,8,2631.0,"[17.0,8.0,2631.0]","[0.17080529204793404,1.1102244801027787,0.351493275650023]",1,3,111,Platinum
14030,19,8,2382.0,"[19.0,8.0,2382.0]","[0.19090003228886746,1.1102244801027787,0.318227663473339]",1,3,111,Platinum
15827,74,14,1844.0,"[74.0,14.0,1844.0]","[0.7435053889145363,1.9428928401798629,0.24635256567793326]",3,4,211,Platinum
17613,23,14,4589.0,"[23.0,14.0,4589.0]","[0.23108951277073428,1.9428928401798629,0.6130758806377634]",3,3,111,Platinum
15983,23,4,1476.0,"[23.0,4.0,1476.0]","[0.23108951277073428,0.5551122400513894,0.19718893001118737]",1,3,111,Platinum
17677,2,30,16376.0,"[2.0,30.0,16376.0]","[0.020094740240933415,4.16334180038542,2.1877817871701923]",3,3,111,Platinum
14477,20,4,1310.0,"[20.0,4.0,1310.0]","[0.20094740240933415,0.5551122400513894,0.17501185522673132]",1,5,131,Platinum
15584,24,4,731.0,"[24.0,4.0,731.0]","[0.241136882891201,0.5551122400513894,0.0976592871532371]",1,4,112,Platinum
17213,41,7,2805.0,"[41.0,7.0,2805.0]","[0.41194217493913504,0.9714464200899314,0.37473912512288654]",1,4,211,Platinum
15781,26,3,347.0,"[26.0,3.0,347.0]","[0.2612316231321344,0.41633418003854206,0.04635810210967616]",1,8,233,Silver
14245,220,2,1708.0,"[220.0,2.0,1708.0]","[2.2104214265026756,0.2775561200256947,0.22818339597500542]",0,5,311,Platinum
15216,88,1,97.0,"[88.0,1.0,97.0]","[0.8841685706010702,0.13877806001284734,0.012958893096941175]",1,8,233,Silver
16601,41,1,246.0,"[41.0,1.0,246.0]","[0.41194217493913504,0.13877806001284734,0.032864821668531226]",1,7,223,Gold
13544,40,2,290.0,"[40.0,2.0,290.0]","[0.4018948048186683,0.2775561200256947,0.038743082454772586]",1,6,213,Gold
17904,22,1,195.0,"[22.0,1.0,195.0]","[0.22104214265026756,0.13877806001284734,0.02605138302993329]",1,6,123,Gold
16505,32,1,779.0,"[32.0,1.0,779.0]","[0.32151584385493465,0.13877806001284734,0.10407193528368222]",1,7,232,Gold
16257,177,1,47.0,"[177.0,1.0,47.0]","[1.7783845113226073,0.13877806001284734,0.006279051294394177]",0,9,333,Silver
14532,237,4,940.0,"[237.0,4.0,940.0]","[2.3812267185506095,0.5551122400513894,0.12558102588788356]",0,7,322,Gold
15634,18,1,246.0,"[18.0,1.0,246.0]","[0.18085266216840074,0.13877806001284734,0.032864821668531226]",1,7,133,Gold
16766,274,2,1150.0,"[274.0,2.0,1150.0]","[2.752979413007878,0.2775561200256947,0.15363636145858095]",0,6,321,Gold
14760,298,1,90.0,"[298.0,1.0,90.0]","[2.994116295899079,0.13877806001284734,0.012023715244584595]",0,9,333,Silver
16954,1,9,2086.0,"[1.0,9.0,2086.0]","[0.010047370120466708,1.2490025401156262,0.2786830000022607]",1,4,121,Platinum
17924,12,7,2964.0,"[12.0,7.0,2964.0]","[0.1205684414456005,0.9714464200899314,0.395981022054986]",1,4,121,Platinum
17396,40,8,7331.0,"[40.0,8.0,7331.0]","[0.4018948048186683,1.1102244801027787,0.9793984050894408]",1,5,221,Platinum
16835,129,2,183.0,"[129.0,2.0,183.0]","[1.2961107455402052,0.2775561200256947,0.02444822099732201]",1,9,333,Silver
16800,12,1,1215.0,"[12.0,1.0,1215.0]","[0.1205684414456005,0.13877806001284734,0.16232015580189205]",1,3,111,Platinum
15157,4,3,1931.0,"[4.0,3.0,1931.0]","[0.04018948048186683,0.41633418003854206,0.257975490414365]",1,3,111,Platinum
17502,10,4,690.0,"[10.0,4.0,690.0]","[0.10047370120466707,0.5551122400513894,0.09218181687514856]",1,5,122,Platinum
15348,73,1,159.0,"[73.0,1.0,159.0]","[0.7334580187940697,0.13877806001284734,0.021241896932099453]",1,8,233,Silver
17462,61,2,680.0,"[61.0,2.0,680.0]","[0.6128895773484692,0.2775561200256947,0.09084584851463916]",1,6,222,Gold
17392,307,2,463.0,"[307.0,2.0,463.0]","[3.0845426269832794,0.2775561200256947,0.061855335091585195]",0,7,322,Gold
18174,8,1,104.0,"[8.0,1.0,104.0]","[0.08037896096373366,0.13877806001284734,0.013894070949297755]",1,7,133,Gold
16947,236,1,407.0,"[236.0,1.0,407.0]","[2.371179348430143,0.13877806001284734,0.054373912272732555]",0,8,332,Silver
15270,16,7,2382.0,"[16.0,7.0,2382.0]","[0.16075792192746732,0.9714464200899314,0.318227663473339]",1,4,121,Platinum
17972,242,1,137.0,"[242.0,1.0,137.0]","[2.4314635691529434,0.13877806001284734,0.018302766538978773]",0,8,323,Silver
15973,367,1,307.0,"[367.0,1.0,307.0]","[3.6873848342112816,0.13877806001284734,0.04101422866763856]",0,9,333,Silver
15904,9,1,167.0,"[9.0,1.0,167.0]","[0.09042633108420037,0.13877806001284734,0.02231067162050697]",1,6,123,Gold
17969,167,2,229.0,"[167.0,2.0,229.0]","[1.67791081011794,0.2775561200256947,0.030593675455665246]",0,9,333,Silver
17926,134,2,400.0,"[134.0,2.0,400.0]","[1.3463475961425388,0.2775561200256947,0.05343873442037598]",1,8,332,Silver
15164,69,3,850.0,"[69.0,3.0,850.0]","[0.6932685383122028,0.41633418003854206,0.11355731064329895]",1,5,212,Platinum
14437,366,1,62.0,"[366.0,1.0,62.0]","[3.677337464090815,0.13877806001284734,0.008283003835158276]",0,9,333,Silver
18014,29,1,168.0,"[29.0,1.0,168.0]","[0.2913737334935345,0.13877806001284734,0.02244426845655791]",1,7,223,Gold
16317,120,3,1350.0,"[120.0,3.0,1350.0]","[1.2056844144560048,0.41633418003854206,0.18035572866876892]",1,6,321,Gold
15091,68,1,479.0,"[68.0,1.0,479.0]","[0.6832211681917362,0.13877806001284734,0.06399288446840024]",1,6,222,Gold
17265,139,2,564.0,"[139.0,2.0,564.0]","[1.3965844467448725,0.2775561200256947,0.07534861553273013]",1,6,312,Gold
17774,97,4,1238.0,"[97.0,4.0,1238.0]","[0.9745949016852706,0.5551122400513894,0.16539288303106364]",1,5,311,Platinum
17525,360,1,424.0,"[360.0,1.0,424.0]","[3.617053243368015,0.13877806001284734,0.05664505848559854]",0,8,332,Silver
16648,43,1,291.0,"[43.0,1.0,291.0]","[0.4320369151800684,0.13877806001284734,0.03887667929082352]",1,8,233,Silver
14085,3,18,4495.0,"[3.0,18.0,4495.0]","[0.030142110361400125,2.4980050802312523,0.6005177780489751]",3,3,111,Platinum
13494,312,1,319.0,"[312.0,1.0,319.0]","[3.134779477585613,0.13877806001284734,0.04261739070024984]",0,9,333,Silver
13003,106,3,150.0,"[106.0,3.0,150.0]","[1.065021232769471,0.41633418003854206,0.020039525407640993]",1,9,333,Silver
16813,9,10,1686.0,"[9.0,10.0,1686.0]","[0.09042633108420037,1.3877806001284734,0.22524426558188473]",1,3,111,Platinum
13516,22,3,1393.0,"[22.0,3.0,1393.0]","[0.22104214265026756,0.41633418003854206,0.18610039261895933]",1,4,121,Platinum
17554,2,5,1963.0,"[2.0,5.0,1963.0]","[0.020094740240933415,0.6938903000642367,0.2622505891679951]",1,3,111,Platinum
15491,96,6,3110.0,"[96.0,6.0,3110.0]","[0.964547531564804,0.8326683600770841,0.4154861601184232]",1,5,311,Platinum
13046,31,2,634.0,"[31.0,2.0,634.0]","[0.31146847373446795,0.2775561200256947,0.08470039405629592]",1,6,222,Gold
17430,33,2,266.0,"[33.0,2.0,266.0]","[0.33156321397540134,0.2775561200256947,0.035536758389550026]",1,8,233,Silver
17639,277,1,110.0,"[277.0,1.0,110.0]","[2.783121523369278,0.13877806001284734,0.014695651965603395]",0,9,333,Silver
17253,19,1,180.0,"[19.0,1.0,180.0]","[0.19090003228886746,0.13877806001284734,0.02404743048916919]",1,7,133,Gold
14658,6,2,248.0,"[6.0,2.0,248.0]","[0.06028422072280025,0.2775561200256947,0.033132015340633106]",1,6,123,Gold
15658,191,5,1029.0,"[191.0,5.0,1029.0]","[1.9190476930091411,0.6938903000642367,0.1374711442964172]",0,7,322,Gold
13967,146,1,81.0,"[146.0,1.0,81.0]","[1.4669160375881394,0.13877806001284734,0.010821343720126135]",0,9,333,Silver
15093,19,6,4610.0,"[19.0,6.0,4610.0]","[0.19090003228886746,0.8326683600770841,0.6158814141948331]",1,3,111,Platinum
13720,117,4,801.0,"[117.0,4.0,801.0]","[1.1755423040946047,0.5551122400513894,0.1070110656768029]",1,7,322,Gold
17588,101,3,1244.0,"[101.0,3.0,1244.0]","[1.0147843821671374,0.41633418003854206,0.1661944640473693]",1,6,321,Gold
15557,29,1,475.0,"[29.0,1.0,475.0]","[0.2913737334935345,0.13877806001284734,0.06345849712419648]",1,7,232,Gold
15497,18,2,1261.0,"[18.0,2.0,1261.0]","[0.18085266216840074,0.2775561200256947,0.16846561026023527]",1,5,131,Platinum
13994,4,6,2331.0,"[4.0,6.0,2331.0]","[0.04018948048186683,0.8326683600770841,0.311414224834741]",1,3,111,Platinum
16801,164,4,1628.0,"[164.0,4.0,1628.0]","[1.6477686997565402,0.5551122400513894,0.21749564909093022]",0,5,311,Platinum
14332,23,3,866.0,"[23.0,3.0,866.0]","[0.23108951277073428,0.41633418003854206,0.11569486002011399]",1,5,122,Platinum
16968,5,2,442.0,"[5.0,2.0,442.0]","[0.05023685060233354,0.2775561200256947,0.05904980153451546]",1,5,122,Platinum
13751,289,1,298.0,"[289.0,1.0,298.0]","[2.9036899648148786,0.13877806001284734,0.039811857143180106]",0,9,333,Silver
17388,78,4,1260.0,"[78.0,4.0,1260.0]","[0.7836948693964032,0.5551122400513894,0.16833201342418433]",1,6,231,Gold
14064,30,5,1359.0,"[30.0,5.0,1359.0]","[0.3014211036140012,0.6938903000642367,0.18155810019322738]",1,4,211,Platinum
14801,62,1,201.0,"[62.0,1.0,201.0]","[0.6229369474689359,0.13877806001284734,0.02685296404623893]",1,7,223,Gold
16738,298,1,4.0,"[298.0,1.0,4.0]","[2.994116295899079,0.13877806001284734,0.0005343873442037598]",0,9,333,Silver
14589,372,1,40.0,"[372.0,1.0,40.0]","[3.7376216848136155,0.13877806001284734,0.005343873442037598]",0,9,333,Silver
16913,291,1,113.0,"[291.0,1.0,113.0]","[2.923784705055812,0.13877806001284734,0.015096442473756213]",0,9,333,Silver
15850,20,2,240.0,"[20.0,2.0,240.0]","[0.20094740240933415,0.2775561200256947,0.032063240652225586]",1,5,113,Platinum
13368,257,2,626.0,"[257.0,2.0,626.0]","[2.582174120959944,0.2775561200256947,0.0836316193678884]",0,7,322,Gold
18030,5,2,232.0,"[5.0,2.0,232.0]","[0.05023685060233354,0.2775561200256947,0.030994465963818066]",1,7,133,Gold
14336,17,4,1617.0,"[17.0,4.0,1617.0]","[0.17080529204793404,0.5551122400513894,0.2160260838943699]",1,3,111,Platinum
18193,166,1,246.0,"[166.0,1.0,246.0]","[1.6678634399974734,0.13877806001284734,0.032864821668531226]",0,9,333,Silver
17397,23,2,702.0,"[23.0,2.0,702.0]","[0.23108951277073428,0.2775561200256947,0.09378497890775984]",1,4,112,Platinum
16274,374,1,366.0,"[374.0,1.0,366.0]","[3.7577164250545487,0.13877806001284734,0.04889644199464402]",0,8,323,Silver
16125,368,1,291.0,"[368.0,1.0,291.0]","[3.6974322043317485,0.13877806001284734,0.03887667929082352]",0,9,333,Silver
18105,38,1,114.0,"[38.0,1.0,114.0]","[0.3818000645777349,0.13877806001284734,0.015230039309807153]",1,8,233,Silver
